x,y,label
92,191,H
89,190,H
88,192,H
87,192,H
87,195,H
87,204,H
86,204,H
86,217,H
85,234,H
85,235,H
84,258,H
84,278,H
84,278,H
87,303,H
92,325,H
91,326,H
92,351,H
88,373,H
90,386,H
88,385,H
88,392,H
88,391,H
90,391,H
94,383,H
92,383,H
96,373,H
98,356,H
98,353,H
101,336,H
103,320,H
104,302,H
105,301,H
105,289,H
105,288,H
107,279,H
106,274,H
105,274,H
105,273,H
108,275,H
107,274,H
111,276,H
117,277,H
126,278,H
127,280,H
138,279,H
152,280,H
153,279,H
165,278,H
165,277,H
174,277,H
182,276,H
183,276,H
187,274,H
189,269,H
190,262,H
191,259,H
193,247,H
196,231,H
195,230,H
198,219,H
197,218,H
200,207,H
203,200,H
203,199,H
205,201,H
205,208,H
203,223,H
201,223,H
197,247,H
195,272,H
195,272,H
190,298,H
187,320,H
187,320,H
187,336,H
188,335,H
187,347,H
187,352,H
186,356,H
187,357,H
185,358,H
186,362,H
186,363,H
