x,y,label
198,127,Y
198,127,Y
198,131,Y
196,134,Y
197,142,Y
201,151,Y
207,157,Y
214,172,Y
220,193,Y
228,206,Y
228,224,Y
232,234,Y
238,243,Y
237,249,Y
238,249,Y
241,250,Y
242,248,Y
245,246,Y
249,239,Y
250,224,Y
257,215,Y
266,201,Y
269,184,Y
281,174,Y
284,157,Y
292,146,Y
296,135,Y
300,131,Y
300,126,Y
303,125,Y
301,127,Y
296,132,Y
287,140,Y
285,154,Y
281,170,Y
275,186,Y
272,212,Y
263,232,Y
263,256,Y
259,278,Y
258,304,Y
259,332,Y
258,364,Y
249,406,Y
246,424,Y
259,438,Y
257,436,Y
259,438,Y
253,430,Y
263,437,Y
