x,y,label
240,116,Z
240,115,Z
238,115,Z
238,116,Z
238,117,Z
244,118,Z
253,118,Z
262,117,Z
273,116,Z
285,115,Z
297,117,Z
298,115,Z
309,115,Z
319,114,Z
332,113,Z
341,111,Z
350,113,Z
357,115,Z
356,116,Z
353,119,Z
351,121,Z
344,126,Z
345,123,Z
335,133,Z
322,140,Z
308,148,Z
299,157,Z
290,168,Z
283,175,Z
268,189,Z
266,195,Z
263,201,Z
262,199,Z
258,204,Z
259,207,Z
259,207,Z
261,205,Z
265,203,Z
272,201,Z
279,199,Z
289,196,Z
298,196,Z
317,198,Z
320,199,Z
330,199,Z
340,201,Z
347,200,Z
354,200,Z
360,200,Z
363,199,Z
365,198,Z
366,200,Z
365,199,Z
365,199,Z
