x,y,label
384,118,X
384,118,X
384,120,X
385,120,X
388,123,X
387,123,X
393,130,X
393,129,X
407,143,X
407,140,X
422,159,X
421,161,X
441,176,X
445,175,X
467,189,X
468,190,X
491,200,X
491,200,X
504,210,X
504,209,X
508,209,X
508,209,X
506,201,X
506,202,X
502,189,X
502,186,X
498,175,X
499,173,X
496,151,X
496,150,X
494,134,X
494,133,X
488,124,X
487,124,X
484,126,X
484,125,X
476,129,X
475,129,X
459,139,X
461,138,X
418,166,X
421,167,X
400,194,X
396,195,X
364,208,X
364,210,X
338,221,X
338,223,X
325,224,X
324,224,X
322,223,X
322,221,X
321,219,X
320,219,X
322,217,X
322,218,X
326,217,X
324,218,X
330,218,X
