x,y,label
134,124,W
133,126,W
133,125,W
131,127,W
133,136,W
133,135,W
134,148,W
136,147,W
139,176,W
136,172,W
142,203,W
141,205,W
141,204,W
152,240,W
153,240,W
162,273,W
170,295,W
166,297,W
175,310,W
171,309,W
178,312,W
177,309,W
176,302,W
179,304,W
178,302,W
185,287,W
186,288,W
193,260,W
205,224,W
209,226,W
210,196,W
209,200,W
225,158,W
220,158,W
220,158,W
237,131,W
238,132,W
242,116,W
244,116,W
246,114,W
251,118,W
249,117,W
255,140,W
254,137,W
261,167,W
259,166,W
259,166,W
268,193,W
266,195,W
278,219,W
274,218,W
284,239,W
288,255,W
287,255,W
291,261,W
289,261,W
288,260,W
289,261,W
288,260,W
288,255,W
289,255,W
293,246,W
289,246,W
292,225,W
297,203,W
297,204,W
307,182,W
310,184,W
309,184,W
316,161,W
318,161,W
327,145,W
328,145,W
333,136,W
337,136,W
337,132,W
336,130,W
337,129,W
335,128,W
335,128,W
335,128,W
336,130,W
336,130,W
