x,y,label
248,170,D
250,168,D
251,167,D
251,167,D
251,167,D
250,170,D
250,170,D
245,184,D
239,216,D
241,218,D
251,275,D
258,289,D
258,290,D
258,301,D
257,312,D
259,310,D
259,310,D
254,299,D
256,297,D
241,266,D
234,240,D
236,239,D
236,220,D
241,204,D
242,202,D
252,189,D
268,177,D
267,175,D
289,170,D
322,178,D
321,177,D
340,196,D
353,229,D
353,228,D
342,269,D
330,284,D
327,284,D
306,289,D
288,296,D
288,294,D
270,304,D
260,304,D
253,304,D
255,302,D
251,303,D
252,303,D
251,302,D
251,301,D
251,301,D
251,300,D
252,300,D
