x,y,label
103,194,B
104,194,B
103,193,B
102,192,B
102,192,B
102,190,B
101,190,B
101,190,B
101,189,B
101,187,B
102,187,B
103,184,B
104,179,B
103,180,B
104,177,B
103,180,B
103,181,B
98,193,B
90,212,B
91,213,B
83,235,B
79,265,B
80,266,B
73,299,B
70,319,B
71,319,B
71,334,B
75,336,B
76,336,B
80,325,B
87,305,B
86,305,B
93,283,B
100,260,B
100,260,B
105,241,B
110,225,B
117,209,B
116,208,B
125,193,B
124,192,B
136,180,B
150,165,B
148,164,B
163,154,B
172,153,B
173,152,B
180,156,B
179,167,B
171,182,B
171,181,B
160,196,B
159,198,B
144,212,B
133,224,B
132,224,B
124,232,B
119,236,B
117,234,B
115,237,B
115,237,B
117,235,B
118,236,B
122,233,B
131,231,B
132,230,B
143,230,B
164,235,B
175,246,B
179,260,B
177,272,B
179,272,B
172,280,B
164,289,B
163,289,B
155,296,B
154,296,B
143,301,B
132,303,B
132,302,B
120,302,B
115,298,B
110,292,B
111,291,B
107,289,B
104,285,B
104,284,B
105,280,B
104,278,B
104,277,B
104,276,B
103,276,B
103,276,B
103,276,B
102,275,B
102,275,B
102,276,B
103,275,B
103,275,B
