x,y,label
218,158,S
215,157,S
217,157,S
210,156,S
211,156,S
199,157,S
201,157,S
185,158,S
184,156,S
185,156,S
174,163,S
159,173,S
161,171,S
153,186,S
153,184,S
149,197,S
150,196,S
150,214,S
148,215,S
149,215,S
157,230,S
157,231,S
167,243,S
178,247,S
181,247,S
195,256,S
197,253,S
218,261,S
220,259,S
239,263,S
241,262,S
239,261,S
255,263,S
255,264,S
265,269,S
267,280,S
267,281,S
261,292,S
262,290,S
253,303,S
252,303,S
238,315,S
235,316,S
236,316,S
223,327,S
222,327,S
212,335,S
204,339,S
199,339,S
196,341,S
189,338,S
183,339,S
181,339,S
181,337,S
180,338,S
182,336,S
182,338,S
184,336,S
186,336,S
187,336,S
189,336,S
190,337,S
189,337,S
