x,y,label
330,113,U
330,114,U
331,113,U
329,113,U
329,114,U
326,118,U
325,118,U
320,123,U
320,123,U
315,134,U
313,135,U
310,148,U
308,147,U
297,167,U
293,164,U
304,185,U
302,184,U
300,205,U
300,203,U
311,227,U
314,227,U
325,249,U
324,249,U
332,264,U
334,261,U
345,270,U
343,271,U
355,276,U
354,272,U
362,272,U
361,270,U
374,260,U
373,258,U
387,241,U
384,248,U
392,235,U
390,236,U
396,225,U
394,228,U
403,213,U
399,213,U
401,197,U
404,197,U
409,180,U
411,178,U
412,167,U
415,165,U
418,157,U
417,157,U
412,156,U
412,155,U
411,156,U
412,155,U
410,154,U
