x,y,label
233,313,B
233,317,B
233,316,B
232,321,B
231,324,B
231,323,B
228,330,B
226,336,B
225,335,B
225,345,B
229,352,B
239,357,B
239,356,B
253,360,B
276,362,B
274,363,B
295,359,B
297,360,B
315,349,B
325,328,B
327,325,B
321,301,B
305,278,B
289,268,B
288,266,B
270,260,B
256,257,B
256,257,B
245,257,B
246,258,B
242,261,B
245,261,B
247,262,B
252,262,B
267,257,B
284,249,B
287,249,B
304,239,B
315,223,B
315,223,B
319,202,B
318,184,B
317,186,B
311,172,B
310,172,B
299,157,B
283,147,B
270,142,B
270,141,B
256,142,B
245,145,B
244,143,B
235,150,B
230,155,B
230,155,B
227,159,B
228,159,B
225,164,B
223,173,B
220,195,B
220,195,B
226,225,B
229,260,B
226,261,B
229,310,B
227,334,B
228,334,B
226,347,B
224,357,B
224,357,B
224,365,B
224,370,B
222,369,B
224,373,B
225,373,B
226,373,B
226,371,B
228,368,B
227,369,B
228,365,B
232,361,B
233,359,B
233,359,B
234,354,B
232,357,B
