x,y,label
271,152,K
271,152,K
272,149,K
272,149,K
271,145,K
272,146,K
272,143,K
272,143,K
274,149,K
274,168,K
273,169,K
263,222,K
264,222,K
267,252,K
281,282,K
286,334,K
285,320,K
282,321,K
275,285,K
275,281,K
280,257,K
279,255,K
280,245,K
280,245,K
280,245,K
285,246,K
285,247,K
291,227,K
306,234,K
345,205,K
341,207,K
379,182,K
357,197,K
358,198,K
313,222,K
315,222,K
289,226,K
299,227,K
271,236,K
284,240,K
281,239,K
304,261,K
305,261,K
335,291,K
336,290,K
349,298,K
351,300,K
354,297,K
353,297,K
352,295,K
