x,y,label
406,171,V
407,170,V
404,169,V
404,168,V
404,170,V
404,170,V
406,172,V
407,172,V
412,194,V
411,191,V
429,244,V
429,242,V
433,256,V
434,258,V
437,263,V
439,261,V
444,265,V
443,267,V
446,268,V
446,267,V
450,268,V
447,269,V
450,267,V
452,268,V
449,267,V
447,268,V
445,267,V
447,267,V
462,241,V
466,237,V
469,224,V
467,225,V
483,207,V
483,208,V
491,192,V
491,194,V
495,190,V
495,191,V
496,191,V
497,191,V
498,190,V
498,190,V
498,189,V
499,189,V
498,188,V
499,188,V
497,187,V
498,187,V
496,187,V
498,187,V
495,187,V
