x,y,label
392,145,T
390,146,T
390,149,T
389,149,T
387,156,T
386,157,T
386,173,T
387,175,T
389,201,T
388,208,T
387,221,T
391,224,T
386,257,T
379,256,T
389,281,T
394,282,T
409,303,T
417,304,T
404,318,T
412,316,T
409,323,T
404,323,T
399,325,T
403,323,T
400,324,T
399,324,T
398,320,T
399,321,T
407,315,T
402,317,T
419,307,T
412,305,T
400,284,T
400,286,T
401,257,T
398,260,T
406,272,T
402,249,T
385,222,T
386,221,T
386,208,T
383,206,T
385,182,T
386,181,T
386,169,T
388,169,T
386,158,T
387,157,T
385,150,T
383,150,T
373,148,T
371,148,T
353,143,T
352,144,T
337,142,T
337,144,T
314,145,T
314,146,T
299,148,T
299,150,T
293,150,T
295,152,T
296,150,T
295,150,T
300,148,T
301,149,T
314,145,T
313,146,T
335,145,T
332,144,T
353,147,T
354,145,T
388,144,T
385,144,T
410,145,T
409,143,T
432,146,T
430,147,T
447,147,T
448,149,T
457,150,T
460,151,T
465,152,T
466,151,T
468,152,T
468,152,T
468,153,T
468,153,T
