x,y,label
175,149,R
176,149,R
175,148,R
175,147,R
174,152,R
174,152,R
173,172,R
174,174,R
172,214,R
174,214,R
185,264,R
194,265,R
222,305,R
225,305,R
201,321,R
181,331,R
185,330,R
187,330,R
227,317,R
215,305,R
220,264,R
183,259,R
201,238,R
193,228,R
219,201,R
203,184,R
225,163,R
227,162,R
248,157,R
249,157,R
273,163,R
271,163,R
285,187,R
284,188,R
274,220,R
274,216,R
252,241,R
251,240,R
229,246,R
232,248,R
224,251,R
227,250,R
231,257,R
229,259,R
246,269,R
250,271,R
289,308,R
297,307,R
302,317,R
305,319,R
306,329,R
309,329,R
309,330,R
311,329,R
311,325,R
311,325,R
